ticker,mkt_cap_m_yf,cash_m,debt_m,ev_m,operatingCashflow,name,region,primary_modality,size_band,revenue_m_at_t,has_revenue_at_t,net_cash_m,net_cash_to_mc,ev_cash_ratio,inv_ev_cash,peer_log_ev_resid,peer_log_ev_cash_resid,runway_months,cheapness_score,cheapness_raw,z_net_cash_to_mc,z_inv_ev_cash,z_peer_log_ev_resid,z_peer_log_ev_cash_resid,z_runway_months,bucket,ret_1y,ret_3y
REGN,,2193.7,1978.5,,2618100000.0,REGN,US,?,unknown,8497.1,1,215.19999999999982,,,,,,,63.020833333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3071973419007843,0.8179918518564684
VRTX,61422.29505891605,5988.2,0.0,55434.09505891605,3253500000.0,VRTX,US,?,mega,6205.7,1,5988.2,0.09749228670560323,9.257221712520632,0.10802377117612665,-1.5210509828836272,0.12227041837755326,,21.875,-0.40685868023053207,-0.03465789707920248,-0.2444524492321506,-1.9227956416556196,0.18494153535391392,0.0,4.0,-0.07083011971635211,0.7216299439503879
ALNY,15132.017332122803,496.58,191.278,14826.715332122803,-614961000.0,ALNY,US,?,large,99.476,1,305.302,0.020175895473757734,29.857657038388183,0.033492246183760954,-0.9483189699912749,-0.38630464150240806,9.689980340216696,6.25,-0.6745484653632191,-0.353183645266301,-0.45360157856932704,-1.2132048548733079,-0.7522882685245651,-0.8477443138988864,5.0,0.3047626393654448,0.47272448922328225
RVMD,2636.684033482315,104.268,0.0,2532.416033482315,-100064000.0,RVMD,US,?,mid,42.983,1,104.268,0.03954512511773791,24.287566976275702,0.04117332958780138,-0.18080907516399636,-0.2966329275547954,12.504157339302846,20.833333333333336,-0.409696139695359,-0.27338687428592773,-0.4320470497107555,-0.2622924946870415,-0.5870363529146948,-0.7140489794708226,4.0,-0.36423339279404754,-0.27557463514429803
INSM,3420.9823614823913,532.756,450.0,3338.2263614823914,-219348000.0,INSM,US,?,mid,164.413,1,82.75599999999997,0.024190712273693182,6.2659573265855135,0.15959253277342803,-0.30078980303382963,0.2917636508261834,29.145795721866623,42.70833333333333,-0.09601554759539435,-0.3366435235061063,-0.09974104569952767,-0.41094355167601304,0.49729289022383866,0.07655850886777962,3.0,-0.1817362865132064,-0.06908984923867634
IONS,7936.270813268539,397.664,0.0,7538.60681326854,35892000.0,IONS,US,?,mid,729.264,1,397.664,0.05010716107811633,18.957227240254436,0.05275033037935871,-0.6545651133159684,-0.18902373232124225,,23.958333333333336,-0.39647098653704216,-0.22987371552286226,-0.3995598620926565,-0.8492562269174486,-0.38872827039081204,0.0,4.0,-0.4617969612232723,-0.1052352434841477
JAZZ,9271.023721420288,1057.769,2094.838,10308.092721420287,899648000.0,JAZZ,US,?,mid,2363.567,1,-1037.0690000000002,-0.11186132526054252,9.745126508169825,0.10261539438832838,-0.7904523370383951,0.09996360231619406,,15.625,-0.4958261447275879,-0.8971466245629252,-0.2596293464767899,-1.0176147607942412,0.14383332047747943,0.0,5.0,-0.22811269815046464,-0.25477129520907316
SMMT,1579.9496375826616,66.417,0.0,1513.5326375826617,-48111000.0,SMMT,US,?,small,0.86,1,66.417,0.042037415889799284,22.78833186658027,0.04388210623992747,0.042734188889921754,-0.26896145178229247,16.56594126083432,28.125,-0.32020790317099773,-0.2631192095615081,-0.42444572559429505,0.014668172866423764,-0.5360418511052425,-0.5210825953592244,4.0,-0.42765953906686416,-0.4446808508479687
ONC,307696.4987786708,1381.95,183.637,306498.18577867077,-1283461000.0,ONC,US,?,mega,308.874,1,1198.313,0.0038944642033836036,221.786740315258,0.0045088358239025175,-2.2637019288477895,-1.2571844942906916,12.920844497807101,1.0416666666666665,-1.3425103732163328,-0.42025939717771044,-0.5349343440347782,-2.842908813591036,-2.357193066300398,-0.6942530927777694,5.0,0.04853120212251816,-0.3019854081600355
INCY,19091.1825732311,1513.008,0.0,17578.1745732311,-124599000.0,INCY,US,?,large,2666.702,1,1513.008,0.07925166469894221,11.618031479827668,0.08607310125956322,-1.0222477939020886,0.023618534789374035,60.0,34.375,-0.20024598318898068,-0.10980506418697944,-0.3060500551027838,-1.3047995468826497,0.00314047430814634,1.542373616025706,4.0,-0.15612786050751704,-0.2781099276593434
